id,marque,modele,annee,kilometrage,prix,carburant,transmission,couleur,ville,typeVendeur,datePublication,description
157,Porsche,Panamera,2011,115115,32000,ESSENCE,AUTOMATIQUE,Rouge,Montreal,CONCESSIONNAIRE,2026-07-05,"Superbe Porsche Panamera 2011 en excellente condition, 115 115 km. Entretien regulier effectue, carnet complet disponible. Vehicule a essence, transmission automatique. Interieur propre et non-fumeur. Idealement situe a Montreal. Prix: 32 000 $ CAD, negociable."
158,Hyundai,Kona,2021,28441,43990,ELECTRIQUE,AUTOMATIQUE,Gris,Calgary,CONCESSIONNAIRE,2025-12-29,"Cette Hyundai Kona 2021 (28 441 km) est en excellent etat. Carburant: 100% electrique, zero emission, transmission automatique, couleur gris. Vehicule non accidente, deuxieme proprietaire. Localisation: Calgary. Prix affiche: 43 990 $ CAD, faire une offre."
159,Jeep,Wrangler,2023,500,83075,HYBRIDE,AUTOMATIQUE,Noir,Ottawa,PARTICULIER,2026-07-16,"Jeep Wrangler 2023 de couleur noir, 500 km, en tres bon etat mecanique et esthetique. Moteur hybride, faible consommation, transmission automatique. Inspection recente reussie. Vendeur situe a Ottawa. Prix: 83 075 $ CAD."
160,Ford,Escape,2023,300,45489,HYBRIDE_RECHARGEABLE,AUTOMATIQUE,Beige,Trois-Rivieres,CONCESSIONNAIRE,2025-12-29,"Ford Escape 2023 de couleur beige, 300 km, en tres bon etat mecanique et esthetique. Moteur hybride rechargeable (PHEV), transmission automatique. Inspection recente reussie. Vendeur situe a Trois-Rivieres. Prix: 45 489 $ CAD."
161,Chrysler,Pacifica Hybrid,2021,50175,40732,HYBRIDE_RECHARGEABLE,AUTOMATIQUE,Brun,Mississauga,CONCESSIONNAIRE,2025-06-14,"Cette Chrysler Pacifica Hybrid 2021 (50 175 km) est en excellent etat. Carburant: hybride rechargeable (PHEV), transmission automatique, couleur brun. Vehicule non accidente, deuxieme proprietaire. Localisation: Mississauga. Prix affiche: 40 732 $ CAD, faire une offre."
162,Jeep,Grand,2023,500,86275,ELECTRIQUE,AUTOMATIQUE,Blanc,St. John's,CONCESSIONNAIRE,2026-01-27,"Cette Jeep Grand 2023 (500 km) est en excellent etat. Carburant: 100% electrique, zero emission, transmission automatique, couleur blanc. Vehicule non accidente, deuxieme proprietaire. Localisation: St. John's. Prix affiche: 86 275 $ CAD, faire une offre."
163,Ford,Transit,2016,243304,23695,DIESEL,MANUELLE,Blanc,Vancouver,CONCESSIONNAIRE,2025-09-12,"Superbe Ford Transit 2016 en excellente condition, 243 304 km. Entretien regulier effectue, carnet complet disponible. Vehicule diesel, economique en carburant, transmission manuelle. Interieur propre et non-fumeur. Idealement situe a Vancouver. Prix: 23 695 $ CAD, negociable."
164,Ford,Escape,2013,199698,8990,ESSENCE,MANUELLE,Rouge,Toronto,CONCESSIONNAIRE,2025-12-13,"Ford Escape 2013 de couleur rouge, 199 698 km, en tres bon etat mecanique et esthetique. Moteur a essence, transmission manuelle. Inspection recente reussie. Vendeur situe a Toronto. Prix: 8 990 $ CAD."
165,Ford,Escape,2022,300,56708,HYBRIDE_RECHARGEABLE,AUTOMATIQUE,Gris,Toronto,PARTICULIER,2026-02-26,"Cette Ford Escape 2022 (300 km) est en excellent etat. Carburant: hybride rechargeable (PHEV), transmission automatique, couleur gris. Vehicule non accidente, deuxieme proprietaire. Localisation: Toronto. Prix affiche: 56 708 $ CAD, faire une offre."
166,Chevrolet,Silverado,2021,19611,48694,ESSENCE,AUTOMATIQUE,Blanc,Calgary,CONCESSIONNAIRE,2025-08-18,"Superbe Chevrolet Silverado 2021 en excellente condition, 19 611 km. Entretien regulier effectue, carnet complet disponible. Vehicule a essence, transmission automatique. Interieur propre et non-fumeur. Idealement situe a Calgary. Prix: 48 694 $ CAD, negociable."
167,BMW,X3,2021,45815,84999,ESSENCE,MANUELLE,Noir,Saskatoon,CONCESSIONNAIRE,2026-06-16,"Cette BMW X3 2021 (45 815 km) est en excellent etat. Carburant: a essence, transmission manuelle, couleur noir. Vehicule non accidente, deuxieme proprietaire. Localisation: Saskatoon. Prix affiche: 84 999 $ CAD, faire une offre."
168,BMW,5,2016,156000,19995,DIESEL,AUTOMATIQUE,Gris,Montreal,PARTICULIER,2025-12-23,"A vendre BMW 5 2016, 156 000 km au compteur. Diesel, economique en carburant avec transmission automatique, tres fiable pour la conduite hivernale canadienne. Couleur gris, aucun accident rapporte. Disponible a Montreal. Prix demande: 19 995 $."
169,Ford,Escape,2011,65017,12495,ESSENCE,MANUELLE,Bleu,Montreal,CONCESSIONNAIRE,2026-04-23,"Occasion a saisir: Ford Escape 2011, seulement 65 017 km. Vehicule a essence, transmission manuelle, entretien fait chez le concessionnaire. Pneus quatre saisons inclus, parfait pour le climat de Montreal. Prix: 12 495 $."
170,Mercedes-Benz,GLS450,2018,62584,68995,ESSENCE,AUTOMATIQUE,Noir,Quebec,PARTICULIER,2026-02-19,"Mercedes-Benz GLS450 2018 de couleur noir, 62 584 km, en tres bon etat mecanique et esthetique. Moteur a essence, transmission automatique. Inspection recente reussie. Vendeur situe a Quebec. Prix: 68 995 $ CAD."
171,Ford,F-150,2023,500,78250,HYBRIDE,AUTOMATIQUE,Blanc,Halifax,PARTICULIER,2025-09-05,"A vendre Ford F-150 2023, 500 km au compteur. Hybride, faible consommation avec transmission automatique, tres fiable pour la conduite hivernale canadienne. Couleur blanc, aucun accident rapporte. Disponible a Halifax. Prix demande: 78 250 $."
172,Alfa Romeo,Romeo,2023,500,69204,ESSENCE,AUTOMATIQUE,Blanc,Surrey,CONCESSIONNAIRE,2025-10-20,"A vendre Alfa Romeo Romeo 2023, 500 km au compteur. A essence avec transmission automatique, tres fiable pour la conduite hivernale canadienne. Couleur blanc, aucun accident rapporte. Disponible a Surrey. Prix demande: 69 204 $."
173,Volvo,XC40,2021,36519,46980,ESSENCE,MANUELLE,Argent,Toronto,CONCESSIONNAIRE,2026-08-04,"Volvo XC40 2021 de couleur argent, 36 519 km, en tres bon etat mecanique et esthetique. Moteur a essence, transmission manuelle. Inspection recente reussie. Vendeur situe a Toronto. Prix: 46 980 $ CAD."
174,Ford,Escape PHEV,2021,30917,31346,HYBRIDE_RECHARGEABLE,AUTOMATIQUE,Gris,Laval,PARTICULIER,2026-02-13,"A vendre Ford Escape PHEV 2021, 30 917 km au compteur. Hybride rechargeable (phev) avec transmission automatique, tres fiable pour la conduite hivernale canadienne. Couleur gris, aucun accident rapporte. Disponible a Laval. Prix demande: 31 346 $."
175,GMC,Sierra,2023,500,72483,ESSENCE,AUTOMATIQUE,Blanc,London,CONCESSIONNAIRE,2025-10-12,"GMC Sierra 2023 de couleur blanc, 500 km, en tres bon etat mecanique et esthetique. Moteur a essence, transmission automatique. Inspection recente reussie. Vendeur situe a London. Prix: 72 483 $ CAD."
176,Volkswagen,Golf,2018,32922,22690,ESSENCE,MANUELLE,Blanc,Toronto,CONCESSIONNAIRE,2026-01-05,"Superbe Volkswagen Golf 2018 en excellente condition, 32 922 km. Entretien regulier effectue, carnet complet disponible. Vehicule a essence, transmission manuelle. Interieur propre et non-fumeur. Idealement situe a Toronto. Prix: 22 690 $ CAD, negociable."
177,GMC,Terrain,2019,98200,33500,ESSENCE,AUTOMATIQUE,Rouge,Calgary,CONCESSIONNAIRE,2025-11-27,"Occasion a saisir: GMC Terrain 2019, seulement 98 200 km. Vehicule a essence, transmission automatique, entretien fait chez le concessionnaire. Pneus quatre saisons inclus, parfait pour le climat de Calgary. Prix: 33 500 $."
178,Honda,Accord,2022,35377,40855,ESSENCE,AUTOMATIQUE,Blanc,Quebec,PARTICULIER,2025-08-10,"Cette Honda Accord 2022 (35 377 km) est en excellent etat. Carburant: a essence, transmission automatique, couleur blanc. Vehicule non accidente, deuxieme proprietaire. Localisation: Quebec. Prix affiche: 40 855 $ CAD, faire une offre."
179,MINI,Cooper,2019,28936,25990,ESSENCE,AUTOMATIQUE,Gris,Montreal,PARTICULIER,2026-09-02,"Occasion a saisir: MINI Cooper 2019, seulement 28 936 km. Vehicule a essence, transmission automatique, entretien fait chez le concessionnaire. Pneus quatre saisons inclus, parfait pour le climat de Montreal. Prix: 25 990 $."
180,Ford,Escape,2022,500,50976,HYBRIDE,AUTOMATIQUE,Gris,Hamilton,CONCESSIONNAIRE,2025-08-05,"Ford Escape 2022 de couleur gris, 500 km, en tres bon etat mecanique et esthetique. Moteur hybride, faible consommation, transmission automatique. Inspection recente reussie. Vendeur situe a Hamilton. Prix: 50 976 $ CAD."
181,Tesla,Model X,2016,46500,89777,ELECTRIQUE,AUTOMATIQUE,Rouge,St. John's,PARTICULIER,2025-12-31,"Tesla Model X 2016 de couleur rouge, 46 500 km, en tres bon etat mecanique et esthetique. Moteur 100% electrique, zero emission, transmission automatique. Inspection recente reussie. Vendeur situe a St. John's. Prix: 89 777 $ CAD."
182,Ford,Escape,2022,300,56708,HYBRIDE_RECHARGEABLE,AUTOMATIQUE,Noir,Laval,PARTICULIER,2026-04-04,"A vendre Ford Escape 2022, 300 km au compteur. Hybride rechargeable (phev) avec transmission automatique, tres fiable pour la conduite hivernale canadienne. Couleur noir, aucun accident rapporte. Disponible a Laval. Prix demande: 56 708 $."
183,Ford,F-150,2014,233000,14995,ESSENCE,AUTOMATIQUE,Noir,Toronto,PARTICULIER,2026-01-25,"A vendre Ford F-150 2014, 233 000 km au compteur. A essence avec transmission automatique, tres fiable pour la conduite hivernale canadienne. Couleur noir, aucun accident rapporte. Disponible a Toronto. Prix demande: 14 995 $."
184,Honda,Clarity,2019,64988,35500,HYBRIDE,AUTOMATIQUE,Blanc,Quebec,PARTICULIER,2025-07-07,"Honda Clarity 2019 de couleur blanc, 64 988 km, en tres bon etat mecanique et esthetique. Moteur hybride, faible consommation, transmission automatique. Inspection recente reussie. Vendeur situe a Quebec. Prix: 35 500 $ CAD."
185,Volvo,C40,2023,500,77073,ELECTRIQUE,AUTOMATIQUE,Rouge,Surrey,CONCESSIONNAIRE,2026-05-06,"Cette Volvo C40 2023 (500 km) est en excellent etat. Carburant: 100% electrique, zero emission, transmission automatique, couleur rouge. Vehicule non accidente, deuxieme proprietaire. Localisation: Surrey. Prix affiche: 77 073 $ CAD, faire une offre."
186,Audi,Q5,2023,500,83643,HYBRIDE,AUTOMATIQUE,Noir,Saskatoon,PARTICULIER,2026-06-23,"Superbe Audi Q5 2023 en excellente condition, 500 km. Entretien regulier effectue, carnet complet disponible. Vehicule hybride, faible consommation, transmission automatique. Interieur propre et non-fumeur. Idealement situe a Saskatoon. Prix: 83 643 $ CAD, negociable."
187,Chevrolet,SILVERADO,2019,109638,58888,DIESEL,AUTOMATIQUE,Blanc,Vancouver,CONCESSIONNAIRE,2025-11-08,"Cette Chevrolet SILVERADO 2019 (109 638 km) est en excellent etat. Carburant: diesel, economique en carburant, transmission automatique, couleur blanc. Vehicule non accidente, deuxieme proprietaire. Localisation: Vancouver. Prix affiche: 58 888 $ CAD, faire une offre."
188,Ford,Escape,2022,300,57253,HYBRIDE_RECHARGEABLE,AUTOMATIQUE,Bleu,Calgary,CONCESSIONNAIRE,2025-12-16,"Superbe Ford Escape 2022 en excellente condition, 300 km. Entretien regulier effectue, carnet complet disponible. Vehicule hybride rechargeable (PHEV), transmission automatique. Interieur propre et non-fumeur. Idealement situe a Calgary. Prix: 57 253 $ CAD, negociable."
189,Ford,Fusion,2018,150000,22900,HYBRIDE,AUTOMATIQUE,Gris,Montreal,CONCESSIONNAIRE,2026-05-13,"Superbe Ford Fusion 2018 en excellente condition, 150 000 km. Entretien regulier effectue, carnet complet disponible. Vehicule hybride, faible consommation, transmission automatique. Interieur propre et non-fumeur. Idealement situe a Montreal. Prix: 22 900 $ CAD, negociable."
190,Ford,Escape PHEV,2021,32496,33218,HYBRIDE_RECHARGEABLE,AUTOMATIQUE,Noir,Montreal,CONCESSIONNAIRE,2025-11-15,"Superbe Ford Escape PHEV 2021 en excellente condition, 32 496 km. Entretien regulier effectue, carnet complet disponible. Vehicule hybride rechargeable (PHEV), transmission automatique. Interieur propre et non-fumeur. Idealement situe a Montreal. Prix: 33 218 $ CAD, negociable."
191,Jeep,WRANGLER,2023,500,55852,ESSENCE,MANUELLE,Vert,Toronto,CONCESSIONNAIRE,2026-04-07,"Jeep WRANGLER 2023 de couleur vert, 500 km, en tres bon etat mecanique et esthetique. Moteur a essence, transmission manuelle. Inspection recente reussie. Vendeur situe a Toronto. Prix: 55 852 $ CAD."
192,Tesla,Model X,2023,500,75900,ELECTRIQUE,AUTOMATIQUE,Blanc,London,CONCESSIONNAIRE,2026-04-28,"Occasion a saisir: Tesla Model X 2023, seulement 500 km. Vehicule 100% electrique, zero emission, transmission automatique, entretien fait chez le concessionnaire. Pneus quatre saisons inclus, parfait pour le climat de London. Prix: 75 900 $."
193,Infiniti,QX55,2023,500,63732,ESSENCE,AUTOMATIQUE,Blanc,Quebec,CONCESSIONNAIRE,2026-07-28,"A vendre Infiniti QX55 2023, 500 km au compteur. A essence avec transmission automatique, tres fiable pour la conduite hivernale canadienne. Couleur blanc, aucun accident rapporte. Disponible a Quebec. Prix demande: 63 732 $."
194,Porsche,Cayenne,2019,46538,78995,ESSENCE,AUTOMATIQUE,Noir,Edmonton,CONCESSIONNAIRE,2025-07-15,"A vendre Porsche Cayenne 2019, 46 538 km au compteur. A essence avec transmission automatique, tres fiable pour la conduite hivernale canadienne. Couleur noir, aucun accident rapporte. Disponible a Edmonton. Prix demande: 78 995 $."
195,Mercedes-Benz,GLE,2016,152842,32987,DIESEL,AUTOMATIQUE,Noir,Kelowna,PARTICULIER,2026-01-04,"Mercedes-Benz GLE 2016 de couleur noir, 152 842 km, en tres bon etat mecanique et esthetique. Moteur diesel, economique en carburant, transmission automatique. Inspection recente reussie. Vendeur situe a Kelowna. Prix: 32 987 $ CAD."
196,Tesla,Model 3,2020,71067,43777,ELECTRIQUE,AUTOMATIQUE,Blanc,Halifax,CONCESSIONNAIRE,2026-08-07,"Cette Tesla Model 3 2020 (71 067 km) est en excellent etat. Carburant: 100% electrique, zero emission, transmission automatique, couleur blanc. Vehicule non accidente, deuxieme proprietaire. Localisation: Halifax. Prix affiche: 43 777 $ CAD, faire une offre."
197,Hyundai,Ioniq,2017,151803,19999,ELECTRIQUE,AUTOMATIQUE,Noir,Winnipeg,CONCESSIONNAIRE,2026-04-05,"Occasion a saisir: Hyundai Ioniq 2017, seulement 151 803 km. Vehicule 100% electrique, zero emission, transmission automatique, entretien fait chez le concessionnaire. Pneus quatre saisons inclus, parfait pour le climat de Winnipeg. Prix: 19 999 $."
198,Nissan,Murano,2020,34499,37499,ESSENCE,AUTOMATIQUE,Blanc,London,CONCESSIONNAIRE,2026-02-20,"A vendre Nissan Murano 2020, 34 499 km au compteur. A essence avec transmission automatique, tres fiable pour la conduite hivernale canadienne. Couleur blanc, aucun accident rapporte. Disponible a London. Prix demande: 37 499 $."
199,Honda,CR-V,2020,40068,36938,ESSENCE,AUTOMATIQUE,Noir,Quebec,CONCESSIONNAIRE,2025-07-14,"Cette Honda CR-V 2020 (40 068 km) est en excellent etat. Carburant: a essence, transmission automatique, couleur noir. Vehicule non accidente, deuxieme proprietaire. Localisation: Quebec. Prix affiche: 36 938 $ CAD, faire une offre."
200,Nissan,LEAF,2014,97332,16900,ELECTRIQUE,AUTOMATIQUE,Blanc,Montreal,CONCESSIONNAIRE,2025-09-02,"Superbe Nissan LEAF 2014 en excellente condition, 97 332 km. Entretien regulier effectue, carnet complet disponible. Vehicule 100% electrique, zero emission, transmission automatique. Interieur propre et non-fumeur. Idealement situe a Montreal. Prix: 16 900 $ CAD, negociable."
201,Mitsubishi,Outlander PHEV,2021,42387,33736,HYBRIDE_RECHARGEABLE,AUTOMATIQUE,Blanc,Montreal,CONCESSIONNAIRE,2025-09-21,"A vendre Mitsubishi Outlander PHEV 2021, 42 387 km au compteur. Hybride rechargeable (phev) avec transmission automatique, tres fiable pour la conduite hivernale canadienne. Couleur blanc, aucun accident rapporte. Disponible a Montreal. Prix demande: 33 736 $."
202,Ford,Escape,2023,300,45399,HYBRIDE_RECHARGEABLE,AUTOMATIQUE,Beige,Quebec,CONCESSIONNAIRE,2026-02-27,"Occasion a saisir: Ford Escape 2023, seulement 300 km. Vehicule hybride rechargeable (PHEV), transmission automatique, entretien fait chez le concessionnaire. Pneus quatre saisons inclus, parfait pour le climat de Quebec. Prix: 45 399 $."
203,Mazda,Mazda3,2011,157000,6990,ESSENCE,MANUELLE,Bordeaux,Quebec,CONCESSIONNAIRE,2025-11-13,"Mazda Mazda3 2011 de couleur bordeaux, 157 000 km, en tres bon etat mecanique et esthetique. Moteur a essence, transmission manuelle. Inspection recente reussie. Vendeur situe a Quebec. Prix: 6 990 $ CAD."
204,Hyundai,Elantra,2023,788,35499,ESSENCE,MANUELLE,Gris,St. John's,PARTICULIER,2026-02-12,"Cette Hyundai Elantra 2023 (788 km) est en excellent etat. Carburant: a essence, transmission manuelle, couleur gris. Vehicule non accidente, deuxieme proprietaire. Localisation: St. John's. Prix affiche: 35 499 $ CAD, faire une offre."
205,Jaguar,I-Pace,2019,51072,69761,ELECTRIQUE,AUTOMATIQUE,Noir,Montreal,PARTICULIER,2026-06-29,"Occasion a saisir: Jaguar I-Pace 2019, seulement 51 072 km. Vehicule 100% electrique, zero emission, transmission automatique, entretien fait chez le concessionnaire. Pneus quatre saisons inclus, parfait pour le climat de Montreal. Prix: 69 761 $."
206,Honda,Civic,2020,93287,26590,ESSENCE,MANUELLE,Blanc,Montreal,PARTICULIER,2025-09-10,"Occasion a saisir: Honda Civic 2020, seulement 93 287 km. Vehicule a essence, transmission manuelle, entretien fait chez le concessionnaire. Pneus quatre saisons inclus, parfait pour le climat de Montreal. Prix: 26 590 $."
207,Jeep,Grand,2020,37642,51895,ESSENCE,AUTOMATIQUE,Argent,St. John's,CONCESSIONNAIRE,2026-05-08,"Superbe Jeep Grand 2020 en excellente condition, 37 642 km. Entretien regulier effectue, carnet complet disponible. Vehicule a essence, transmission automatique. Interieur propre et non-fumeur. Idealement situe a St. John's. Prix: 51 895 $ CAD, negociable."
208,Hyundai,Tucson,2022,6636,45588,HYBRIDE,AUTOMATIQUE,Gris,Montreal,PARTICULIER,2026-06-03,"Hyundai Tucson 2022 de couleur gris, 6 636 km, en tres bon etat mecanique et esthetique. Moteur hybride, faible consommation, transmission automatique. Inspection recente reussie. Vendeur situe a Montreal. Prix: 45 588 $ CAD."
209,Jeep,Wrangler,2023,500,79995,HYBRIDE,MANUELLE,Noir,Edmonton,CONCESSIONNAIRE,2026-03-23,"Occasion a saisir: Jeep Wrangler 2023, seulement 500 km. Vehicule hybride, faible consommation, transmission manuelle, entretien fait chez le concessionnaire. Pneus quatre saisons inclus, parfait pour le climat de Edmonton. Prix: 79 995 $."
210,Honda,Accord,2015,86533,24490,HYBRIDE,AUTOMATIQUE,Noir,Calgary,PARTICULIER,2025-10-26,"Honda Accord 2015 de couleur noir, 86 533 km, en tres bon etat mecanique et esthetique. Moteur hybride, faible consommation, transmission automatique. Inspection recente reussie. Vendeur situe a Calgary. Prix: 24 490 $ CAD."
211,Tesla,Model Y,2016,157635,68995,ELECTRIQUE,AUTOMATIQUE,Argent,Calgary,PARTICULIER,2025-10-02,"Superbe Tesla Model Y 2016 en excellente condition, 157 635 km. Entretien regulier effectue, carnet complet disponible. Vehicule 100% electrique, zero emission, transmission automatique. Interieur propre et non-fumeur. Idealement situe a Calgary. Prix: 68 995 $ CAD, negociable."
212,Ford,Escape,2022,500,44874,HYBRIDE,AUTOMATIQUE,Bleu,Winnipeg,CONCESSIONNAIRE,2025-10-24,"A vendre Ford Escape 2022, 500 km au compteur. Hybride, faible consommation avec transmission automatique, tres fiable pour la conduite hivernale canadienne. Couleur bleu, aucun accident rapporte. Disponible a Winnipeg. Prix demande: 44 874 $."
213,Buick,Regal,2012,213657,8590,ESSENCE,MANUELLE,Gris,Victoria,CONCESSIONNAIRE,2025-09-02,"Buick Regal 2012 de couleur gris, 213 657 km, en tres bon etat mecanique et esthetique. Moteur a essence, transmission manuelle. Inspection recente reussie. Vendeur situe a Victoria. Prix: 8 590 $ CAD."
214,Volvo,V60,2015,135200,16900,ESSENCE,AUTOMATIQUE,Rouge,Quebec,CONCESSIONNAIRE,2026-04-16,"A vendre Volvo V60 2015, 135 200 km au compteur. A essence avec transmission automatique, tres fiable pour la conduite hivernale canadienne. Couleur rouge, aucun accident rapporte. Disponible a Quebec. Prix demande: 16 900 $."
215,Infiniti,QX80,2023,500,91452,ESSENCE,MANUELLE,Beige,Winnipeg,PARTICULIER,2026-06-02,"Cette Infiniti QX80 2023 (500 km) est en excellent etat. Carburant: a essence, transmission manuelle, couleur beige. Vehicule non accidente, deuxieme proprietaire. Localisation: Winnipeg. Prix affiche: 91 452 $ CAD, faire une offre."
216,Volvo,XC90 Recharge,2020,53022,57143,HYBRIDE_RECHARGEABLE,AUTOMATIQUE,Brun,Ottawa,CONCESSIONNAIRE,2025-06-16,"Superbe Volvo XC90 Recharge 2020 en excellente condition, 53 022 km. Entretien regulier effectue, carnet complet disponible. Vehicule hybride rechargeable (PHEV), transmission automatique. Interieur propre et non-fumeur. Idealement situe a Ottawa. Prix: 57 143 $ CAD, negociable."
217,Toyota,RAV4 Prime,2023,16918,52050,HYBRIDE_RECHARGEABLE,AUTOMATIQUE,Beige,Halifax,CONCESSIONNAIRE,2025-11-17,"A vendre Toyota RAV4 Prime 2023, 16 918 km au compteur. Hybride rechargeable (phev) avec transmission automatique, tres fiable pour la conduite hivernale canadienne. Couleur beige, aucun accident rapporte. Disponible a Halifax. Prix demande: 52 050 $."
218,Infiniti,QX60,2022,11012,55988,ESSENCE,MANUELLE,Blanc,Toronto,CONCESSIONNAIRE,2026-03-29,"Cette Infiniti QX60 2022 (11 012 km) est en excellent etat. Carburant: a essence, transmission manuelle, couleur blanc. Vehicule non accidente, deuxieme proprietaire. Localisation: Toronto. Prix affiche: 55 988 $ CAD, faire une offre."
219,Ford,Escape PHEV,2021,33722,34724,HYBRIDE_RECHARGEABLE,AUTOMATIQUE,Gris,Montreal,CONCESSIONNAIRE,2026-04-27,"A vendre Ford Escape PHEV 2021, 33 722 km au compteur. Hybride rechargeable (phev) avec transmission automatique, tres fiable pour la conduite hivernale canadienne. Couleur gris, aucun accident rapporte. Disponible a Montreal. Prix demande: 34 724 $."
220,BMW,3,2023,500,70990,HYBRIDE,AUTOMATIQUE,Gris,Toronto,CONCESSIONNAIRE,2025-06-27,"Superbe BMW 3 2023 en excellente condition, 500 km. Entretien regulier effectue, carnet complet disponible. Vehicule hybride, faible consommation, transmission automatique. Interieur propre et non-fumeur. Idealement situe a Toronto. Prix: 70 990 $ CAD, negociable."
221,Honda,Odyssey,2018,53897,42350,ESSENCE,AUTOMATIQUE,Noir,Montreal,PARTICULIER,2026-05-03,"Superbe Honda Odyssey 2018 en excellente condition, 53 897 km. Entretien regulier effectue, carnet complet disponible. Vehicule a essence, transmission automatique. Interieur propre et non-fumeur. Idealement situe a Montreal. Prix: 42 350 $ CAD, negociable."
222,Ford,F-150,2023,500,74055,ESSENCE,AUTOMATIQUE,Blanc,Edmonton,PARTICULIER,2025-07-16,"Cette Ford F-150 2023 (500 km) est en excellent etat. Carburant: a essence, transmission automatique, couleur blanc. Vehicule non accidente, deuxieme proprietaire. Localisation: Edmonton. Prix affiche: 74 055 $ CAD, faire une offre."
223,Nissan,Sentra,2022,500,31990,ESSENCE,AUTOMATIQUE,Blanc,Vancouver,CONCESSIONNAIRE,2026-08-06,"Cette Nissan Sentra 2022 (500 km) est en excellent etat. Carburant: a essence, transmission automatique, couleur blanc. Vehicule non accidente, deuxieme proprietaire. Localisation: Vancouver. Prix affiche: 31 990 $ CAD, faire une offre."
224,Chevrolet,Silverado,2023,500,81948,DIESEL,AUTOMATIQUE,Noir,Winnipeg,CONCESSIONNAIRE,2026-08-31,"Occasion a saisir: Chevrolet Silverado 2023, seulement 500 km. Vehicule diesel, economique en carburant, transmission automatique, entretien fait chez le concessionnaire. Pneus quatre saisons inclus, parfait pour le climat de Winnipeg. Prix: 81 948 $."
225,Hyundai,Kona,2021,21656,35890,ESSENCE,AUTOMATIQUE,Gris,Montreal,CONCESSIONNAIRE,2025-08-09,"Superbe Hyundai Kona 2021 en excellente condition, 21 656 km. Entretien regulier effectue, carnet complet disponible. Vehicule a essence, transmission automatique. Interieur propre et non-fumeur. Idealement situe a Montreal. Prix: 35 890 $ CAD, negociable."
226,Hyundai,Sonata,2013,166000,10990,HYBRIDE,AUTOMATIQUE,Noir,Montreal,PARTICULIER,2026-08-02,"Superbe Hyundai Sonata 2013 en excellente condition, 166 000 km. Entretien regulier effectue, carnet complet disponible. Vehicule hybride, faible consommation, transmission automatique. Interieur propre et non-fumeur. Idealement situe a Montreal. Prix: 10 990 $ CAD, negociable."
227,Volkswagen,Passat,2013,145000,12000,DIESEL,AUTOMATIQUE,Blanc,Surrey,PARTICULIER,2025-11-07,"Occasion a saisir: Volkswagen Passat 2013, seulement 145 000 km. Vehicule diesel, economique en carburant, transmission automatique, entretien fait chez le concessionnaire. Pneus quatre saisons inclus, parfait pour le climat de Surrey. Prix: 12 000 $."
228,Nissan,Rogue,2023,500,36667,ESSENCE,AUTOMATIQUE,Noir,Montreal,CONCESSIONNAIRE,2026-07-05,"A vendre Nissan Rogue 2023, 500 km au compteur. A essence avec transmission automatique, tres fiable pour la conduite hivernale canadienne. Couleur noir, aucun accident rapporte. Disponible a Montreal. Prix demande: 36 667 $."
229,Ford,F-150,2023,500,79816,HYBRIDE,AUTOMATIQUE,Noir,Sherbrooke,CONCESSIONNAIRE,2025-10-24,"Superbe Ford F-150 2023 en excellente condition, 500 km. Entretien regulier effectue, carnet complet disponible. Vehicule hybride, faible consommation, transmission automatique. Interieur propre et non-fumeur. Idealement situe a Sherbrooke. Prix: 79 816 $ CAD, negociable."
230,BMW,3,2021,19145,53980,HYBRIDE,MANUELLE,Blanc,Toronto,PARTICULIER,2025-07-07,"BMW 3 2021 de couleur blanc, 19 145 km, en tres bon etat mecanique et esthetique. Moteur hybride, faible consommation, transmission manuelle. Inspection recente reussie. Vendeur situe a Toronto. Prix: 53 980 $ CAD."
231,Toyota,RAV4 Prime,2022,27802,44092,HYBRIDE_RECHARGEABLE,AUTOMATIQUE,Rouge,Vancouver,CONCESSIONNAIRE,2026-02-11,"Toyota RAV4 Prime 2022 de couleur rouge, 27 802 km, en tres bon etat mecanique et esthetique. Moteur hybride rechargeable (PHEV), transmission automatique. Inspection recente reussie. Vendeur situe a Vancouver. Prix: 44 092 $ CAD."
232,BMW,X3,2023,1210,74588,ESSENCE,AUTOMATIQUE,Gris,Kitchener,CONCESSIONNAIRE,2026-01-10,"Superbe BMW X3 2023 en excellente condition, 1 210 km. Entretien regulier effectue, carnet complet disponible. Vehicule a essence, transmission automatique. Interieur propre et non-fumeur. Idealement situe a Kitchener. Prix: 74 588 $ CAD, negociable."
233,Jeep,Compass,2023,500,54770,ESSENCE,AUTOMATIQUE,Beige,Mississauga,CONCESSIONNAIRE,2026-02-08,"Superbe Jeep Compass 2023 en excellente condition, 500 km. Entretien regulier effectue, carnet complet disponible. Vehicule a essence, transmission automatique. Interieur propre et non-fumeur. Idealement situe a Mississauga. Prix: 54 770 $ CAD, negociable."
234,Mercedes-Benz,CLS,2019,49000,73800,HYBRIDE,AUTOMATIQUE,Gris,Mississauga,CONCESSIONNAIRE,2026-08-28,"Superbe Mercedes-Benz CLS 2019 en excellente condition, 49 000 km. Entretien regulier effectue, carnet complet disponible. Vehicule hybride, faible consommation, transmission automatique. Interieur propre et non-fumeur. Idealement situe a Mississauga. Prix: 73 800 $ CAD, negociable."
